Москва,sale,flat,9,9,4,233.0,-1,0,600000000,Хамовники,Малая Пироговская ,8,Спортивная,Barrin House,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,8,13,2,53.25,-1,0,25432093,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,7,14,3,206.0,-1,0,289775400,Арбат,Малый Новопесковский переулок,8,Смоленская,Дом на Смоленской набережной,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,9,9,2,44.2,-1,0,10800000,Северное Медведково,Широкая ,23К2,Медведково,,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,3,49,2,58.94,-1,0,23988580,Марьина роща,,,Марьина Роща,Тэйт ЖК,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,6,7,5,271.7,-1,0,294000000,Хамовники,Смоленский бульвар,24к3,Смоленская,Клубный дом на Смоленском бульваре,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,3,5,3,82.9,-1,0,42900000,Тверской,1-й Самотечный переулок,17А,Достоевская,,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,4,17,2,49.8,-1,0,57968000,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,5,6,4,157.0,-1,0,250000000,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,14,25,3,109.4,-1,0,47750000,Раменки, Лобачевского,118к2,Аминьевская,Лобачевский,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,6,13,2,85.19,-1,0,126021567,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,3,9,4,143.0,-1,0,108900000,Таганский,Серебрянический переулок,8,Китай-город,Титул на Серебрянической,Нет информации,Не указано,Не указано,Не указано,Не указано
Москва,sale,flat,3,36,2,68.6,-1,0,48137992,Беговой,Ленинградский проспект,вл8,Белорусская,Slava,Нет информации,Не указано,Не указано,Не указано,Не указано
